dates,Top 10 Gross,Overall Gross,Week,cpi,realOverall,realTop,realpcedur
1/1/2017,2591403262,2880767719,611,2.596455333,2807862815,2525821437,338.6893741
4/1/2017,2534069206,2891952566,91,2.182203667,2830192012,2479951611,345.1068953
7/1/2017,2514800712,2756210580,260,2.114432667,2699139101,2462727987,345.9394019
10/1/2017,2106154838,2390647211,429,2.144440667,2340457489,2061937805,353.8497065
1/1/2018,2870779080,3204080099,599,2.222466,3134418709,2808364142,356.0545786
4/1/2018,2171209219,2597774081,90,2.530544333,2533658724,2117621859,359.1424292
7/1/2018,3168976710,3424845719,260,2.471481667,3342242801,3092545027,362.6932632
10/1/2018,2457116869,2826692313,469,2.452050667,2759039272,2398309114,361.6861027
1/1/2019,2617140532,2963137252,559,2.387288333,2894047982,2556118611,366.9648254
4/1/2019,1978999732,2334025180,104,2.408969333,2279121834,1932447660,374.4413192
7/1/2019,3227413126,3440782494,273,2.565620333,3354713288,3146681232,383.7809783
10/1/2019,2315422944,2596004437,442,2.749306333,2526542056,2253468200,387.3979278
1/1/2020,2646531392,2922640807,559,2.752460667,2844351160,2575637970,391.2191517
4/1/2020,1296630519,1504360573,104,2.122902,1473088351,1269676531,426.840126
7/1/2020,4496551,4509471,273,2.238408667,4410740.6,4398103.471,481.4218069
10/1/2020,116463251,120301885,442,1.785781667,118191247.4,114419960.3,479.7537143
1/1/2021,181362422,196987136,559,1.583668333,193916147.4,178535019.4,515.6048777
4/1/2021,267647311,286013744,104,2.491358,279061327.3,261141345.2,526.4505174
7/1/2021,834477018,865397441,273,2.432303667,844848168,814661965.2,519.2484781
10/1/2021,1348774579,1409424632,442,3.244694,1365130330,1306386340,527.6918086
1/1/2022,1940434359,2009255949,611,4.284717333,1926702206,1860708269,533.0508522
4/1/2022,1271219768,1341246906,91,5.043240667,1276852178,1210187119,522.9942157
7/1/2022,2473110167,2519783208,260,6.003276333,2377080497,2333050687,529.5586338
10/1/2022,1555149956,1688114644,429,6.484403333,1585316339,1460448580,515.2734591
