DATE,ffr,inflation,u
10/1/91,4.816666667,4.4423,7.1
1/1/92,4.023333333,3.85531,7.366666667
4/1/92,3.77,3.82075,7.6
7/1/92,3.256666667,3.49977,7.633333333
10/1/92,3.036666667,3.46741,7.366666667
1/1/93,3.04,3.46013,7.133333333
4/1/93,3,3.43026,7.066666667
7/1/93,3.06,3.24617,6.8
10/1/93,2.99,3.12779,6.633333333
1/1/94,3.213333333,2.90144,6.566666667
4/1/94,3.94,2.74544,6.2
7/1/94,4.486666667,2.90393,6
10/1/94,5.166666667,2.7513,5.633333333
1/1/95,5.81,2.94877,5.466666667
4/1/95,6.02,3.07824,5.666666667
7/1/95,5.796666667,2.99173,5.666666667
10/1/95,5.72,3.05714,5.566666667
1/1/96,5.363333333,2.88522,5.533333333
4/1/96,5.243333333,2.6545,5.5
7/1/96,5.306666667,2.637,5.266666667
10/1/96,5.28,2.57774,5.333333333
1/1/97,5.276666667,2.47917,5.233333333
4/1/97,5.523333333,2.52525,5
7/1/97,5.533333333,2.30831,4.866666667
10/1/97,5.506666667,2.23375,4.666666667
1/1/98,5.52,2.26056,4.633333333
4/1/98,5.5,2.18719,4.4
7/1/98,5.533333333,2.35433,4.533333333
10/1/98,4.86,2.34101,4.433333333
1/1/99,4.733333333,2.17181,4.3
4/1/99,4.746666667,2.08253,4.266666667
7/1/99,5.093333333,2.01265,4.233333333
10/1/99,5.306666667,2.02059,4.066666667
1/1/00,5.676666667,2.23951,4.033333333
4/1/00,6.273333333,2.39894,3.933333333
7/1/00,6.52,2.53664,4
10/1/00,6.473333333,2.57848,3.9
1/1/01,5.593333333,2.65454,4.233333333
4/1/01,4.326666667,2.63789,4.4
7/1/01,3.496666667,2.65714,4.833333333
10/1/01,2.133333333,2.71403,5.5
1/1/02,1.733333333,2.53165,5.7
4/1/02,1.75,2.42631,5.833333333
7/1/02,1.74,2.26705,5.733333333
10/1/02,1.443333333,2.0571,5.866666667
1/1/03,1.25,1.83422,5.866666667
4/1/03,1.246666667,1.49149,6.133333333
7/1/03,1.016666667,1.36149,6.133333333
10/1/03,0.996666667,1.16421,5.833333333
1/1/04,1.003333333,1.31625,5.7
4/1/04,1.01,1.78077,5.6
7/1/04,1.433333333,1.80816,5.433333333
10/1/04,1.95,2.1642,5.433333333
1/1/05,2.47,2.30769,5.3
4/1/05,2.943333333,2.14031,5.1
7/1/05,3.46,2.04668,4.966666667
10/1/05,3.98,2.10155,4.966666667
1/1/06,4.456666667,2.10526,4.733333333
4/1/06,4.906666667,2.46133,4.633333333
7/1/06,5.246666667,2.81784,4.633333333
10/1/06,5.246666667,2.66754,4.433333333
1/1/07,5.256666667,2.6269,4.5
4/1/07,5.25,2.2881,4.5
7/1/07,5.073333333,2.1193,4.666666667
10/1/07,4.496666667,2.31034,4.8
1/1/08,3.176666667,2.38809,5
4/1/08,2.086666667,2.33625,5.333333333
7/1/08,1.94,2.46667,6
10/1/08,0.506666667,1.99951,6.866666667
1/1/09,0.183333333,1.75369,8.266666667
4/1/09,0.18,1.82999,9.3
7/1/09,0.156666667,1.48027,9.633333333
10/1/09,0.12,1.75022,9.933333333
1/1/10,0.133333333,1.34009,9.833333333
4/1/10,0.193333333,0.95261,9.633333333
7/1/10,0.186666667,0.89634,9.466666667
10/1/10,0.186666667,0.64557,9.5
1/1/11,0.156666667,1.10595,9.033333333
4/1/11,0.093333333,1.45118,9.066666667
7/1/11,0.083333333,1.89818,9
10/1/11,0.073333333,2.17432,8.633333333
1/1/12,0.103333333,2.22848,8.266666667
4/1/12,0.153333333,2.2529,8.2
7/1/12,0.143333333,2.01773,8.033333333
10/1/12,0.16,1.949,7.8
1/1/13,0.143333333,1.92917,7.733333333
4/1/13,0.116666667,1.66135,7.533333333
7/1/13,0.083333333,1.74478,7.233333333
10/1/13,0.086666667,1.72315,6.933333333
1/1/14,0.073333333,1.60251,6.666666667
4/1/14,0.093333333,1.89651,6.2
7/1/14,0.09,1.77404,6.066666667
10/1/14,0.1,1.7271,5.7
1/1/15,0.11,1.68842,5.533333333
4/1/15,0.123333333,1.777,5.433333333
7/1/15,0.136666667,1.86081,5.1
10/1/15,0.16,1.9942,5.033333333
1/1/16,0.36,2.21232,4.933333333
4/1/16,0.373333333,2.18453,4.9
7/1/16,0.396666667,2.21944,4.9
10/1/16,0.45,2.18045,4.766666667
1/1/17,0.7,2.13348,4.566666667
4/1/17,0.95,1.79192,4.366666667
7/1/17,1.153333333,1.68996,4.3
10/1/17,1.203333333,1.7688,4.133333333
1/1/18,1.446666667,1.90736,4.066666667
4/1/18,1.736666667,2.22098,3.933333333
7/1/18,1.923333333,2.2594,3.766666667
10/1/18,2.22,2.192,3.8
1/1/19,2.403333333,2.09064,3.866666667
4/1/19,2.396666667,2.07441,3.633333333
7/1/19,2.19,2.30785,3.633333333
10/1/19,1.643333333,2.29335,3.533333333
,,,
,,,
